scan_date,agencies_with_data,pages_scanned,axe_issues,axe_serious,axe_critical,axe_issue_rows,axe_template_rows,focus_issues,reflow_pages,reflow_issues,broken_urls,language_pages,language_mean_fk,language_mean_smog
2025-06-30,43,22550,200273,157538,42735,200273,53216,34972,6007,6007,0,23097,8.905,11.631
2025-08-12,43,23640,184255,136582,47673,184255,51408,0,0,0,0,0,,
2025-09-29,44,24395,184719,148283,36436,184719,52846,38855,6517,6517,0,22732,9.143,11.957
2025-12-17,45,24450,162015,121685,40330,162015,41966,37857,6064,6064,0,23620,9.267,12.04
2026-03-31,45,25183,134600,109591,23268,134600,36812,0,6151,6151,1814,24179,9.26,12.034
2026-06-30,45,55385,248679,202865,41692,248679,53169,0,11591,11591,0,53349,9.288,12.022
