base_url,current_organisation,current_sector,in_2026_06_30,scans_seen,historical_names
https://www.nzdf.mil.nz/nzdf/,New Zealand Defence Force,Non-Public Service Departments,true,6,New Zealand Defence Force
https://www.nzic.govt.nz/,Government Communications Security Bureau,Public Service Departments,true,3,Government Communications Security Bureau
https://www.nzpam.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.nzrelay.co.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.nzsar.govt.nz/,"Ministry of Cities, Environment, Regions and Transport",Public Service Departments,true,6,"Ministry of Cities, Environment, Regions and Transport; Ministry of Transport"
https://www.nzsis.govt.nz/,New Zealand Security Intelligence Service,Public Service Departments,true,6,New Zealand Security Intelligence Service
https://www.nzsl.govt.nz/,Whaikaha,Public Service Departments,true,6,Whaikaha
https://www.officeforseniors.govt.nz/,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://www.orangatamariki.govt.nz/,Oranga Tamariki,Public Service Departments,true,6,Oranga Tamariki
https://www.orangatamarikiactionplan.govt.nz/,Oranga Tamariki,Public Service Departments,true,5,Oranga Tamariki
https://www.ownyouronline.govt.nz/,Government Communications Security Bureau,Public Service Departments,true,6,Government Communications Security Bureau
https://www.paroleboard.govt.nz/,Department of Corrections,Public Service Departments,true,6,Department of Corrections
https://www.pasefikaproud.co.nz/,Ministry of Social Development,Public Service Departments,true,3,Ministry of Social Development
https://www.passports.govt.nz/,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://www.pco.govt.nz/,Parliamentary Counsel Office,Non-Public Service Departments,true,6,Parliamentary Counsel Office
https://www.pds.govt.nz/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://www.police.govt.nz/,New Zealand Police,Non-Public Service Departments,true,6,New Zealand Police
https://www.procurement.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.productsafety.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.protectivesecurity.govt.nz/,New Zealand Security Intelligence Service,Public Service Departments,true,6,New Zealand Security Intelligence Service
https://www.providers.studylink.govt.nz,,,false,3,Ministry of Social Development
https://www.publicservice.govt.nz/,Public Service Commission,Public Service Departments,true,6,Public Service Commission
https://www.publicservicefale.govt.nz/,Public Service Commission,Public Service Departments,true,1,Public Service Commission
https://www.qualityplanning.org.nz/,"Ministry of Cities, Environment, Regions and Transport",Public Service Departments,true,6,"Ministry for the Environment; Ministry of Cities, Environment, Regions and Transport"
https://www.rdti.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,1,"Ministry of Business, Innovation and Employment"
https://www.realme.govt.nz/,Department of Internal Affairs,Public Service Departments,true,5,Department of Internal Affairs
https://www.redress.govt.nz/,Public Service Commission,Public Service Departments,true,0,
https://www.regulation.govt.nz/,Ministry for Regulation,Public Service Departments,true,6,Ministry for Regulation; Ministry of Regulation
https://www.remauthority.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.reportspam.co.nz/,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://www.rsm.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.safergambling.org.nz/,Health New Zealand,Crown Entities - Crown Agents,true,6,Health New Zealand
https://www.safetotalk.nz/,Ministry of Social Development,Public Service Departments,true,6,Ministry of Social Development
https://www.safetravel.govt.nz/,Ministry of Foreign Affairs and Trade,Public Service Departments,true,6,Ministry of Foreign Affairs and Trade
https://www.sfo.govt.nz/,Serious Fraud Office,Public Service Departments,true,6,Serious Fraud Office
https://www.sia.govt.nz/,Social Investment Agency,Public Service Departments,true,6,Social Investment Agency
https://www.skillsinconstruction.govt.nz,,,false,5,"Ministry of Business, Innovation and Employment"
https://www.smallsteps.org.nz/,Health New Zealand,Crown Entities - Crown Agents,true,6,Health New Zealand
https://www.smokefree.org.nz/,Health New Zealand,Crown Entities - Crown Agents,true,6,Health New Zealand
https://www.standards.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.stats.govt.nz,Statistics New Zealand,Public Service Departments,true,6,Statistics New Zealand
https://www.strategicintentions.whaikaha.govt.nz,,,false,3,Whaikaha
https://www.strengtheningfamilies.govt.nz/,Oranga Tamariki,Public Service Departments,true,5,Oranga Tamariki
https://www.studylink.govt.nz/,Ministry of Social Development,Public Service Departments,true,5,Ministry of Social Development
https://www.stv.govt.nz/index.shtml,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://www.supergold.govt.nz/,Ministry of Social Development,Public Service Departments,true,4,Ministry of Social Development
https://www.supportmydecisions.nz/,Whaikaha,Public Service Departments,true,1,Whaikaha
https://www.survivorexperiences.govt.nz/,Department of Internal Affairs,Public Service Departments,true,6,Department of Internal Affairs
https://www.tariff-finder.govt.nz/,Ministry of Foreign Affairs and Trade,Public Service Departments,true,6,Ministry of Foreign Affairs and Trade
https://www.tas.mbie.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.taxpolicy.ird.govt.nz/,Inland Revenue Department,Public Service Departments,true,6,Inland Revenue Department
https://www.taxtechnical.ird.govt.nz/,Inland Revenue Department,Public Service Departments,true,6,Inland Revenue Department
https://www.tehaorangahau.msd.govt.nz/,Ministry of Social Development,Public Service Departments,true,2,Ministry of Social Development
https://www.tenancy.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tepunafoundation.org.nz,,,false,1,Department of Internal Affairs
https://www.tewhatuora.govt.nz,,,false,4,Health New Zealand
https://www.thehive.nz,,,false,1,Ministry of Social Development
https://www.thelowdown.co.nz,,,false,4,Health New Zealand
https://www.tki.org.nz/,Ministry of Education,Public Service Departments,true,6,Ministry of Education
https://www.tkm.govt.nz/,Te Puni Kōkiri,Public Service Departments,true,3,Te Puni Kōkiri
https://www.tools.business.govt.nz/boost/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tools.business.govt.nz/cashflow-forecaster/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tools.business.govt.nz/climate/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tools.business.govt.nz/do-business-online/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tools.business.govt.nz/funding-explorer/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.tools2.business.govt.nz/compliance-matters,"Ministry of Business, Innovation and Employment",Public Service Departments,true,2,"Ministry of Business, Innovation and Employment"
https://www.tools2.business.govt.nz/employeecostcalculator,"Ministry of Business, Innovation and Employment",Public Service Departments,true,2,"Ministry of Business, Innovation and Employment"
https://www.tpk.govt.nz/en,,,false,3,Te Puni Kōkiri
https://www.tpk.govt.nz/mi,Te Puni Kōkiri,Public Service Departments,true,0,
https://www.tradebarriers.govt.nz/,Ministry of Foreign Affairs and Trade,Public Service Departments,true,4,Ministry of Foreign Affairs and Trade
https://www.tradingstandards.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,5,"Ministry of Business, Innovation and Employment"
https://www.transport.govt.nz/,"Ministry of Cities, Environment, Regions and Transport",Public Service Departments,true,6,"Ministry of Cities, Environment, Regions and Transport; Ministry of Transport"
https://www.travellerdeclaration.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.treasury.govt.nz/,The Treasury,Public Service Departments,true,5,The Treasury
https://www.tsw.govt.nz/external/application/login/app.html,New Zealand Customs Service,Public Service Departments,true,4,New Zealand Customs Service
https://www.tuiatetaiao.nz/,Ministry for Primary Industries,Public Service Departments,true,6,Ministry for Primary Industries
https://www.tupu.nz/,Te Puni Kōkiri,Public Service Departments,true,6,Te Puni Kōkiri
https://www.unittitles.govt.nz/,"Ministry of Business, Innovation and Employment",Public Service Departments,true,6,"Ministry of Business, Innovation and Employment"
https://www.veteransaffairs.mil.nz/,New Zealand Defence Force,Non-Public Service Departments,true,6,New Zealand Defence Force
https://www.waitangitribunal.govt.nz/,Ministry of Justice,Public Service Departments,true,6,Ministry of Justice
https://www.wellbeingsupport.health.nz,,,false,4,Health New Zealand
