organisation,base_url,number_of_pages,sector
Ministry of Education,https://newzealandcurriculum.tahurangi.education.govt.nz/,100,Public Service Departments
Ministry of Education,https://newzealandcurriculum.tahurangi.education.govt.nz/new-zealand-curriculum-online/teaching-support/pathways-and-transitions/5637164076.c,100,Public Service Departments
Ministry of Education,https://paekupu.co.nz/,100,Public Service Departments
Ministry of Education,https://pld.education.govt.nz/,81,Public Service Departments
Ministry of Education,https://pokapuu.education.govt.nz/Security/login/,1,Public Service Departments
Ministry of Education,https://powerupplus.education.govt.nz/,1,Public Service Departments
Ministry of Education,https://school-leavers-toolkit.education.govt.nz/,73,Public Service Departments
Ministry of Education,https://terito.govt.nz/,19,Public Service Departments
Ministry of Education,https://tuiaeducation.org.nz/,15,Public Service Departments
Ministry of Education,https://workforce.education.govt.nz,60,Public Service Departments
Ministry of Education,https://www.education.govt.nz/,100,Public Service Departments
Ministry of Education,https://www.educationcounts.govt.nz/home,100,Public Service Departments
Ministry of Education,https://www.tki.org.nz/,100,Public Service Departments
Ministry of Education,https://youthguarantee.education.govt.nz,100,Public Service Departments
Ministry of Education,https://zero.education.govt.nz/,5,Public Service Departments
Ministry of Foreign Affairs and Trade,https://devdata.mfat.govt.nz/,100,Public Service Departments
Ministry of Foreign Affairs and Trade,https://services-exporter-tool.govt.nz/,0,Public Service Departments
Ministry of Foreign Affairs and Trade,https://treaties.mfat.govt.nz/,6,Public Service Departments
Ministry of Foreign Affairs and Trade,https://vacancies.mfat.govt.nz/,1,Public Service Departments
Ministry of Foreign Affairs and Trade,https://www.mfat.govt.nz/,100,Public Service Departments
Ministry of Foreign Affairs and Trade,https://www.safetravel.govt.nz/,100,Public Service Departments
Ministry of Foreign Affairs and Trade,https://www.tariff-finder.govt.nz/,3,Public Service Departments
Ministry of Foreign Affairs and Trade,https://www.tradebarriers.govt.nz/,7,Public Service Departments
Ministry of Health,https://acart.health.govt.nz/,64,Public Service Departments
Ministry of Health,https://consult.health.govt.nz/,100,Public Service Departments
Ministry of Health,https://ecart.health.govt.nz/,23,Public Service Departments
Ministry of Health,https://ethics.health.govt.nz/,100,Public Service Departments
Ministry of Health,https://health.wd105.myworkdayjobs.com/External,26,Public Service Departments
Ministry of Health,https://minhealthnz.shinyapps.io/national-gambling-study-data-explorer/,0,Public Service Departments
Ministry of Health,https://minhealthnz.shinyapps.io/nz-health-survey-2022-23-mental-health-data-explorer/,2,Public Service Departments
Ministry of Health,https://minhealthnz.shinyapps.io/nz-health-survey-2024-25-annual-data-explorer/,2,Public Service Departments
Ministry of Health,https://minhealthnz.shinyapps.io/WhakamauaDashboard/,2,Public Service Departments
Ministry of Health,https://neac.health.govt.nz/,91,Public Service Departments
Ministry of Health,https://tatai.maori.nz/,4,Public Service Departments
Ministry of Health,https://tatou.health.govt.nz/,100,Public Service Departments
Ministry of Health,https://www.health.govt.nz/,100,Public Service Departments
Ministry of Health,https://www.medsafe.govt.nz/,100,Public Service Departments
Ministry of Housing and Urban Development,https://www.chra.hud.govt.nz/,40,Public Service Departments
Ministry of Housing and Urban Development,https://www.hud.govt.nz/,100,Public Service Departments
Ministry of Justice,https://apply.justice.govt.nz/,51,Public Service Departments
Ministry of Justice,https://chiefvictimsadvisor.justice.govt.nz/,19,Public Service Departments
Ministry of Justice,https://consultations.justice.govt.nz/,100,Public Service Departments
Ministry of Justice,https://coronerscourt.govt.nz/,90,Public Service Departments
Ministry of Justice,https://hearings.courtsofnz.govt.nz/,11,Public Service Departments
Ministry of Justice,https://humanrights.govt.nz/,1,Public Service Departments
Ministry of Justice,https://jcc.govt.nz/,5,Public Service Departments
Ministry of Justice,https://pjsp.govt.nz/,100,Public Service Departments
Ministry of Justice,https://sexualviolence.victimsinfo.govt.nz/,48,Public Service Departments
Ministry of Justice,https://tekura.courts.govt.nz/,7,Public Service Departments
Ministry of Justice,https://victimsinfo.govt.nz/,44,Public Service Departments
Ministry of Justice,https://www.courtsofnz.govt.nz/,100,Public Service Departments
Ministry of Justice,https://www.disputestribunal.govt.nz/,25,Public Service Departments
Ministry of Justice,https://www.districtcourts.govt.nz/,100,Public Service Departments
Ministry of Justice,https://www.employmentcourt.govt.nz/,84,Public Service Departments
Ministry of Justice,https://www.environmentcourt.govt.nz/,75,Public Service Departments
Ministry of Justice,https://www.justice.govt.nz/,100,Public Service Departments
Ministry of Justice,https://www.pds.govt.nz/,9,Public Service Departments
Ministry of Justice,https://www.waitangitribunal.govt.nz/,100,Public Service Departments
Ministry of Justice,https://www.xn--morilandcourt-wqb.govt.nz/,100,Public Service Departments
Ministry of Justice,https://www.youthcourt.govt.nz/home-2/,1,Public Service Departments
Ministry of Justice,https://www2.justice.govt.nz/elibsonline/,21,Public Service Departments
Ministry of Regulation,https://careers.regulation.govt.nz/,26,Public Service Departments
Ministry of Regulation,https://consultation.regulation.govt.nz/,32,Public Service Departments
Ministry of Regulation,https://www.regulation.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://annualreport2021.msd.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://api.msd.govt.nz/,13,Public Service Departments
Ministry of Social Development,https://businessonlineservices.msd.govt.nz/bos/MSDProviderLogon.jsp,1,Public Service Departments
Ministry of Social Development,https://check.msd.govt.nz/,7,Public Service Departments
Ministry of Social Development,https://digitalsuite.co.nz/,4,Public Service Departments
Ministry of Social Development,https://ea.analytics.msd.govt.nz/,1,Public Service Departments
Ministry of Social Development,https://etuwhanau.org.nz/,100,Public Service Departments
Ministry of Social Development,https://form.abuseincaretopups.govt.nz/online_forms/top_up_resolved_claim_form/new,1,Public Service Departments
Ministry of Social Development,https://forum.changeispossible.org.nz/,100,Public Service Departments
Ministry of Social Development,https://jobs.msd.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://my.msd.govt.nz/,8,Public Service Departments
Ministry of Social Development,https://my.studylink.govt.nz/my/studylink/help/general-info.html,13,Public Service Departments
Ministry of Social Development,https://my.studylink.govt.nz/mystudylink/logon.html,1,Public Service Departments
Ministry of Social Development,https://my.studylink.govt.nz/mystudylink/logon_mobile.html,1,Public Service Departments
Ministry of Social Development,https://providers.studylink.govt.nz/,84,Public Service Departments
Ministry of Social Development,https://providers.youthservice.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://services.workandincome.govt.nz/ua/supplier_registration,2,Public Service Departments
Ministry of Social Development,https://sft.org.nz/,7,Public Service Departments
Ministry of Social Development,https://tehekemai.co.nz/,3,Public Service Departments
Ministry of Social Development,https://www.abuseincaretopups.govt.nz/,6,Public Service Departments
Ministry of Social Development,https://www.areyouok.org.nz/,87,Public Service Departments
Ministry of Social Development,https://www.changeispossible.org.nz/,30,Public Service Departments
Ministry of Social Development,https://www.connect.co.nz/,5,Public Service Departments
Ministry of Social Development,https://www.connected.govt.nz/,60,Public Service Departments
Ministry of Social Development,https://www.digitalpassport.co.nz/,13,Public Service Departments
Ministry of Social Development,https://www.disabilitysupport.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.familyservices.govt.nz/directory/,100,Public Service Departments
Ministry of Social Development,https://www.fincap.org.nz/,100,Public Service Departments
Ministry of Social Development,https://www.heartlandservices.govt.nz/,47,Public Service Departments
Ministry of Social Development,https://www.lovebetter.org.nz/,100,Public Service Departments
Ministry of Social Development,https://www.moneymanagementsuppliers.workandincome.govt.nz/,1,Public Service Departments
Ministry of Social Development,https://www.moneytalks.co.nz/,18,Public Service Departments
Ministry of Social Development,https://www.msd.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.myd.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.officeforseniors.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.pasefikaproud.co.nz/,100,Public Service Departments
Ministry of Social Development,https://www.safetotalk.nz/,22,Public Service Departments
Ministry of Social Development,https://www.studylink.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.supergold.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.tehaorangahau.msd.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.workandincome.govt.nz/,100,Public Service Departments
Ministry of Social Development,https://www.workandincome.govt.nz/map/index.html,100,Public Service Departments
Ministry of Social Development,https://www.xn--tekhuikhu-7bbe.govt.nz/,25,Public Service Departments
Ministry of Social Development,https://www.youthservice.govt.nz/,38,Public Service Departments
Ministry of Transport,https://nzsar-resources.org.nz/,25,Public Service Departments
Ministry of Transport,https://www.knowledgehub.transport.govt.nz/,7,Public Service Departments
Ministry of Transport,https://www.maliat.govt.nz/,10,Public Service Departments
Ministry of Transport,https://www.nzsar.govt.nz/,100,Public Service Departments
Ministry of Transport,https://www.transport.govt.nz/,100,Public Service Departments
National Emergency Management Agency,https://ar.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://ci.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://er.getready.govt.nz/,35,Public Service Departmental Agencies
National Emergency Management Agency,https://es.getready.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://getready.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://hi.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://ja.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://mi.getready.govt.nz/,69,Public Service Departmental Agencies
National Emergency Management Agency,https://nu.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://nzsl.getready.govt.nz/,45,Public Service Departmental Agencies
National Emergency Management Agency,https://pa.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://sm.getready.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://takatu.civildefence.govt.nz/,2,Public Service Departmental Agencies
National Emergency Management Agency,https://tl.getready.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://to.getready.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://www.civildefence.govt.nz/,100,Public Service Departmental Agencies
National Emergency Management Agency,https://zh-hans.getready.govt.nz/,60,Public Service Departmental Agencies
National Emergency Management Agency,https://zh-hant.getready.govt.nz/,60,Public Service Departmental Agencies
Natural Hazards Commission,https://www.naturalhazards.govt.nz/,100,Crown Entities - Crown Agents
Natural Hazards Commission,https://www.naturalhazardsportal.govt.nz/s/,1,Crown Entities - Crown Agents
New Zealand Customs Service,https://careers.customs.govt.nz/home,39,Public Service Departments
New Zealand Customs Service,https://www.customs.govt.nz/,100,Public Service Departments
New Zealand Customs Service,https://www.tsw.govt.nz/external/application/login/app.html,1,Public Service Departments
New Zealand Defence Force,https://airforcemuseum.co.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://cadetforces.org.nz/,19,Non-Public Service Departments
New Zealand Defence Force,https://force4families.mil.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://health.nzdf.mil.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://navymuseum.co.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://www.armymuseum.co.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://www.cadetnet.org.nz/,7,Non-Public Service Departments
New Zealand Defence Force,https://www.defencecareers.mil.nz/,100,Non-Public Service Departments
New Zealand Defence Force,https://www.nzdf.mil.nz/nzdf/,100,Non-Public Service Departments
New Zealand Defence Force,https://www.veteransaffairs.mil.nz/,100,Non-Public Service Departments
New Zealand Police,https://www.newcops.govt.nz/,74,Non-Public Service Departments
New Zealand Police,https://www.police.govt.nz/,3,Non-Public Service Departments
New Zealand Security Intelligence Service,https://providinginformation.nzsis.govt.nz/,1,Public Service Departments
New Zealand Security Intelligence Service,https://www.nzsis.govt.nz/,100,Public Service Departments
New Zealand Security Intelligence Service,https://www.protectivesecurity.govt.nz/,63,Public Service Departments
Oranga Tamariki,https://mahi.orangatamariki.govt.nz/home,100,Public Service Departments
Oranga Tamariki,https://practice.orangatamariki.govt.nz/,100,Public Service Departments
Oranga Tamariki,https://www.childrensday.org.nz/,4,Public Service Departments
Oranga Tamariki,https://www.hcn.govt.nz/,4,Public Service Departments
Oranga Tamariki,https://www.orangatamariki.govt.nz/,100,Public Service Departments
Oranga Tamariki,https://www.orangatamarikiactionplan.govt.nz/,26,Public Service Departments
Oranga Tamariki,https://www.strengtheningfamilies.govt.nz/,17,Public Service Departments
Oranga Tamariki,https://youthwork.orangatamariki.govt.nz/,1,Public Service Departments
Parliamentary Counsel Office,https://disclosure.legislation.govt.nz/,100,Non-Public Service Departments
Parliamentary Counsel Office,https://www.ldac.org.nz/,100,Non-Public Service Departments
Parliamentary Counsel Office,https://www.pco.govt.nz/,100,Non-Public Service Departments
Public Service Commission,https://gwn.govt.nz/,100,Public Service Departments
Public Service Commission,https://www.abuseinquiryresponse.govt.nz/,100,Public Service Departments
Public Service Commission,https://www.ldc.govt.nz/,100,Public Service Departments
Public Service Commission,https://www.publicservice.govt.nz/,100,Public Service Departments
Public Service Commission,https://www.publicservicefale.govt.nz/,14,Public Service Departments
Public Service Commission,https://www.redress.govt.nz/,10,Public Service Departments
Serious Fraud Office,https://www.sfo.govt.nz/,100,Public Service Departments
Social Investment Agency,https://thehub.sia.govt.nz/,100,Public Service Departments
Social Investment Agency,https://www.sia.govt.nz/,100,Public Service Departments
Statistics New Zealand,https://aria.stats.govt.nz/aria/,1,Public Service Departments
Statistics New Zealand,https://aria.stats.govt.nz/aria-coding/search,1,Public Service Departments
Statistics New Zealand,https://datainfoplus.stats.govt.nz/,100,Public Service Departments
Statistics New Zealand,https://explore.data.stats.govt.nz/,1,Public Service Departments
Statistics New Zealand,https://infoshare.stats.govt.nz,13,Public Service Departments
Statistics New Zealand,https://portal.apis.stats.govt.nz/,9,Public Service Departments
Statistics New Zealand,https://tools.summaries.stats.govt.nz/,100,Public Service Departments
Statistics New Zealand,https://www.stats.govt.nz,100,Public Service Departments
Te Puni Kōkiri,https://tehaeata.govt.nz/nau-mai-haere-mai-ki-te-haeata?destination=/kia-ora,9,Public Service Departments
Te Puni Kōkiri,https://www.tkm.govt.nz/,1,Public Service Departments
Te Puni Kōkiri,https://www.tpk.govt.nz/en,1,Public Service Departments
Te Puni Kōkiri,https://www.tupu.nz/,100,Public Service Departments
Te Tari Whakatau,https://maca-nds.maps.arcgis.com/home/index.html,1,Public Service Departmental Agencies
Te Tari Whakatau,https://storymaps.arcgis.com/stories/03a5d8c628b9439bbdcbef3e7974c3d6,3,Public Service Departmental Agencies
Te Tari Whakatau,https://whakatau.govt.nz/,100,Public Service Departmental Agencies
The Treasury,https://budget.govt.nz/,100,Public Service Departments
The Treasury,https://centralagenciesjobs.cass.govt.nz/home,51,Public Service Departments
The Treasury,https://debtmanagement.treasury.govt.nz/,100,Public Service Departments
The Treasury,https://exportcredit.treasury.govt.nz/,100,Public Service Departments
The Treasury,https://lsfdashboard.treasury.govt.nz/wellbeing/,1,Public Service Departments
The Treasury,https://www.boardappointments.co.nz/,17,Public Service Departments
The Treasury,https://www.treasury.govt.nz/,100,Public Service Departments
Whaikaha,https://www.nzsl.govt.nz/,100,Public Service Departments
Whaikaha,https://www.strategicintentions.whaikaha.govt.nz/,1,Public Service Departments
Whaikaha,https://www.supportmydecisions.nz/,26,Public Service Departments
Whaikaha,https://www.whaikaha.govt.nz/,100,Public Service Departments
